교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
백운천인도교,기타,서울특별시,강북구,17.5,3,0,기타,A,기타,2,1,17.5,
누원1교,기타,서울특별시,도봉구,15,8,2,기타,B,DB-18,18,1,15,
무수교,기타,서울특별시,도봉구,33,12,2,라멘교,C,DB-18,43,6,5.7,
상도교,기타,서울특별시,도봉구,92,23.8,5,프리플렉스거더교,B,DB-24,14,3,30.8,
서원내다리,기타,서울특별시,도봉구,16,4.5,1,RC슬래브교,B,DB-13.5,24,1,16,
제1무수교,기타,서울특별시,도봉구,13,13,2,RCT거더교,B,DB-18,27,3,5.7,
모래말본교,기타,서울특별시,도봉구,16,12.9,2,라멘교,B,DB-24,18,1,16,
방학725앞교,기타,서울특별시,도봉구,22,12,2,프리플렉스거더교,B,DB-24,12,1,22,
근화교,기타,서울특별시,도봉구,30,20,2,RC슬래브교,B,DB-24,21,2,15,
백운교,기타,서울특별시,도봉구,22,8,2,라멘교,B,DB-24,18,2,11,
쌍수교,기타,서울특별시,도봉구,23,13.3,2,RC슬래브교,B,DB-24,5,1,23,
어울교,기타,서울특별시,도봉구,13.3,8,2,라멘교,B,DB-24,22,1,13.3,
우이천교,기타,서울특별시,도봉구,18,9,2,기타,B,DB-13.5,17,2,9,
누원교,기타,서울특별시,도봉구,36,8,2,RCT거더교,B,DB-24,67,3,12,
수원교,기타,서울특별시,도봉구,23,10,2,RC슬래브교,B,DB-13.5,53,3,9,
만세교,기타,서울특별시,도봉구,15,8,2,라멘교,B,DB-18,21,2,7.5,
세일교,기타,서울특별시,도봉구,17,8,2,라멘교,B,DB-18,21,2,8.5,
제2무수교,기타,서울특별시,도봉구,27,8,2,라멘교,B,DB-18,20,2,13.5,
쌍우교,기타,서울특별시,도봉구,35,6,2,라멘교,B,DB-18,20,3,13,
제일시장앞교,기타,서울특별시,도봉구,16,6,2,라멘교,B,DB-18,24,4,4,
석천교,기타,서울특별시,도봉구,20,6,1,기타,A,DB-24,16,1,20,
모래말1교,기타,서울특별시,도봉구,22,17,2,라멘교,B,DB-18,21,2,11,
쌍문동709앞교,기타,서울특별시,도봉구,16,11,2,라멘교,B,DB-24,43,1,16,
제3무수교,기타,서울특별시,도봉구,21,9.8,2,기타,B,DB-24,13,1,21,
쌍문294교,기타,서울특별시,도봉구,16,2.6,1,PSC슬래브교,B,DB-13.5,8,1,16,
쌍문707교,기타,서울특별시,도봉구,16,11,2,라멘교,B,DB-24,11,1,16,
모래말2교,기타,서울특별시,도봉구,16,11,2,라멘교,B,DB-24,11,1,16,
창번2교,기타,서울특별시,도봉구,43,4,1,라멘교,B,기타,20,3,15,
초안교,3,서울특별시,도봉구,58,15,2,PSC슬래브교,A,DB-24,22,2,29,
노원마을교,1,서울특별시,노원구,122,19,4,RC박스거더교,B,DB-24,14,3,50,
지축교,기타,서울특별시,은평구,95.9,20,4,RC슬래브교,C,DB-24,30,7,14,
신흥상가교,기타,서울특별시,은평구,51,2.7,2,PSC슬래브교,B,DB-13.5,37,6,9,
홍은대교,3,서울특별시,서대문구,30.3,15,3,RC슬래브교,B,DB-18,41,3,7,
홍제3교,3,서울특별시,서대문구,35.5,15,2,라멘교,B,DB-24,53,8,4,
금화터널입구고가교,기타,서울특별시,서대문구,35,10,2,기타,A,기타,44,2,17.5,
증가로차도육교,3,서울특별시,서대문구,28.9,12,2,강박스거더교,B,기타,53,1,28.9,
와우고가교,기타,서울특별시,마포구,20,14,2,PSCI거더교,B,DB-18,57,1,20,442
와우교(고가차도),3,서울특별시,마포구,20,14.2,2,PSCI거더교,B,DB-24,57,1,20,
상오정교,기타,서울특별시,강서구,12,21,4,라멘교,B,DB-24,33,1,12,24423
구로2교,기타,서울특별시,영등포구,63,25,6,PSCI거더교,B,DB-18,44,3,21,
신도림교,기타,서울특별시,영등포구,88,30,5,RCT거더교,B,DB-18,37,11,9,
신도림1교,기타,서울특별시,구로구,89.5,10,2,라멘교,B,DB-24,12,5,35.9,
금천과선교,3,서울특별시,금천구,97,15,4,강박스거더교,B,DB-24,27,3,42,
고구동산교,3,서울특별시,동작구,38,13,2,라멘교,B,DB-24,16,3,15,
흑석유수지고가교,3,서울특별시,동작구,32,14.6,2,RC슬래브교,C,DB-18,42,4,8,
사평로~신반포로 연결 교량반포천2교,2,서울특별시,서초구,180.7,26,5,프리플렉스거더교,E,DB-24,14,5,38,
영동4교,2,서울특별시,강남구,150,20,4,PSC슬래브교,B,DB-24,41,7,35,0
